code,node_type,name,description,grade
MATH.G1.ADD.WITHIN_5,SKILL,5以内加法,5以内合并,1
MATH.G1.SUB.WITHIN_5,SKILL,5以内减法,5以内分开,1
MATH.G1.NUM.SEQUENCE,SKILL,数的顺序,按顺序填数,1
MATH.G1.WORD.PICTURE_COUNT,SKILL,看图列式,从图意列出算式,1
MATH.G2.NUM.EVEN_ODD,SKILL,奇数与偶数,认识奇偶,2
MATH.G2.MUL.ZERO_ONE,SKILL,0和1的乘法,特殊乘法规律,2
MATH.G2.DIV.REMAINDER,SKILL,有余数的除法,余数意义,2
MATH.G2.GEO.ANGLES_RIGHT,SKILL,直角初步,认识直角,2
MATH.G2.DATA.SIMPLE_TABLE,SKILL,简单统计表,读表获取信息,2
MATH.G2.WORD.MULT_COMPARISON,SKILL,乘法比多少,倍比关系一步题,2
MATH.G3.NUM.ROUNDING,SKILL,估算与凑整,加减估算,3
MATH.G3.MUL.ZERO_MIDDLE,SKILL,中间有0的乘法,竖式乘法难点,3
MATH.G3.DIV.CHECK,SKILL,乘除验算,用乘法验算除法,3
MATH.G3.FRA.SIMPLE_WORD,SKILL,简单分数应用题,分数加减应用,3
MATH.G3.GEO.SQUARE_RECT,SKILL,正方形与长方形,边与角性质,3
MATH.G3.MEA.TIME_ELAPSED,SKILL,经过时间,求经过几小时几分,3
MATH.G3.WORD.MUL_DIV_TWO_STEP,SKILL,乘除两步应用题,中间问题乘除,3
MATH.G3.STAT.BAR_CHART,SKILL,条形统计图,读条形图,3
MATH.G2.MIS.REMAINDER_AS_DECIMAL,MISCONCEPTION,余数当小数,有余数除法写小数,2
MATH.G1.MIS.SIGN_IGNORE,MISCONCEPTION,忽略运算符号,加减符号看错,1
MATH.G3.MIS.ESTIMATE_EXACT,MISCONCEPTION,估算当精确,应估算却精算或反之,3
MATH.G1.INT.NUMBER_LINE,INTERVENTION,数轴跳步,在数轴上跳加跳减,1
MATH.G2.INT.REMAINDER_SHARE,INTERVENTION,分物有余,分苹果剩几个,2
MATH.G3.INT.ESTIMATE_ROUND,INTERVENTION,先估再算,估算检验合理性,3
